Date_Ordinal,Consolidated_AQI
733693,14.5
735358,26.25
732417,35.0
734319,48.75
736621,19.75
733353,23.75
735700,18.25
733819,17.75
733198,30.0
734708,16.25
734293,30.25
738418,21.75
733416,26.5
734498,10.75
737746,15.0
731428,16.5
738744,17.25
730264,37.75
735272,15.25
735168,18.0
738423,11.0
737629,9.25
736353,11.0
737805,12.75
736686,9.0
735096,11.5
735281,15.0
738248,16.0
733304,18.25
733215,25.0
737503,9.5
734782,18.25
735953,12.5
734411,9.75
731108,9.0
732746,25.25
734027,14.25
730686,20.5
736222,16.0
738578,11.0
737986,12.5
735818,11.75
736957,21.5
732707,19.5
734442,20.25
735505,9.75
730663,38.75
734969,11.25
731778,37.0
735344,23.25
735267,9.25
737955,16.25
735041,14.0
733568,28.75
735204,18.5
735812,16.25
738186,19.25
737231,16.5
731041,48.0
735681,17.25
733748,13.0
732793,18.25
735617,16.5
735925,16.5
733198,29.0
733094,11.0
736736,5.75
737371,9.75
738409,8.0
737206,16.0
737397,14.75
731699,25.0
736873,15.25
738472,7.75
731422,14.25
735673,17.25
736296,15.5
730953,20.5
733206,24.0
738443,12.75
735965,16.25
738719,45.25
738056,11.25
735369,13.75
736133,12.0
730664,33.25
731341,34.25
738489,13.0
736381,18.25
736671,8.75
738413,13.75
731114,23.25
733464,17.5
730254,35.75
735664,20.5
734291,34.75
736784,15.5
734578,17.0
736428,23.5
730366,17.25
737370,12.75
733306,15.75
736975,8.75
735009,12.75
732134,25.25
738158,12.25
731764,37.0
738433,16.75
737405,15.75
733371,19.5
733337,16.25
730381,16.25
738443,17.5
733124,15.75
738012,12.5
736073,33.0
731776,47.5
735677,13.75
735916,18.0
730290,33.0
735960,7.0
737142,24.0
736343,13.0
733095,27.0
733487,22.5
733625,18.25
736656,14.0
737383,15.75
735367,12.25
731779,38.0
736828,30.0
730260,34.5
735403,22.75
731452,38.75
736708,11.75
734648,29.25
732918,43.5
732986,19.75
738520,8.75
734474,19.0
738134,12.0
730706,54.5
736362,18.0
734078,11.25
733386,10.0
732893,43.0
735918,18.75
736561,18.75
738595,26.0
738525,12.0
736874,16.5
730248,24.25
733256,35.5
736097,17.5
733758,22.25
736566,14.25
735817,8.5
737075,16.5
737586,6.5
737288,13.0
733623,27.25
734869,8.0
738651,17.5
734176,15.75
736718,11.0
738179,15.5
732958,35.75
734264,24.0
731045,24.25
730730,24.25
731468,19.5
732443,23.0
733566,22.5
738274,15.0
733136,13.25
731451,21.0
735250,14.5
733643,13.75
732810,23.0
737996,12.75
738210,11.0
738221,9.75
735691,12.25
736537,14.0
732957,48.25
736528,19.25
738610,14.0
733628,28.25
734001,11.0
736169,18.75
733564,11.0
735472,22.0
736331,5.25
737489,11.5
733010,25.75
733014,20.5
735031,24.5
737221,11.0
730281,43.25
734367,28.0
733688,19.25
733622,32.0
738073,10.0
731320,33.25
735011,13.5
734439,11.5
736275,15.0
735182,14.75
735803,14.5
736274,15.5
738094,9.25
730358,31.75
735680,12.5
736874,17.0
731328,28.0
736068,14.75
733333,9.0
736754,13.75
735174,12.75
731812,37.0
737939,10.0
737296,9.5
738304,15.25
735697,13.0
738768,21.0
733142,24.75
736209,8.75
734847,10.0
732774,27.0
731022,37.75
736406,11.75
732847,32.25
736227,6.5
731141,26.0
737782,14.25
733022,15.5
738231,14.5
734071,7.75
737976,16.0
732456,28.25
738000,19.25
734485,16.5
733980,16.5
735082,17.0
737513,10.5
733513,22.75
735915,15.5
733895,7.0
736584,6.25
736741,11.0
736719,16.75
733263,26.5
738388,9.25
738127,18.75
734603,19.25
731796,25.5
737201,14.75
737627,10.75
733727,22.0
735564,10.5
736467,13.0
738486,12.5
731040,51.5
736348,13.0
736031,20.5
733783,23.75
732526,56.5
737181,15.5
737500,11.25
738299,9.75
734002,13.5
734735,15.75
736774,9.75
733293,16.0
738088,13.0
734474,19.5
735144,18.5
733514,30.75
733307,22.0
735805,20.75
737243,18.75
738720,15.0
733101,24.75
736922,20.5
735163,12.0
735784,9.25
735072,13.25
738016,11.5
733881,23.5
738477,16.0
738758,19.25
737948,7.5
736865,17.75
737129,18.0
737190,9.5
736457,22.5
738543,11.0
736269,9.75
736947,9.0
731760,31.0
731700,42.0
738635,14.5
734978,18.5
738672,9.25
730578,23.75
